Number,Descriptions,Answer,Unit,Reference,Source ,Class
1,Escherichia coli cells are about 2 米m (microns) long and 0.8 米m in diameter. How many E. coli cells laid end to end would fit across the diameter of a pinhead? (Assume a pinhead diameter of 0.5 mm.),2.50E+02,E.coli per pinhead,1.3,QCBench,Biochemistry
2,Assume that mitochondria are cylinders 1.5 米m in length and 0.6 米m in diameter.    What is the volume of a single mitochondrion?,0.424,fL,1.4,QCBench,Biochemistry
3,"The genome of the Mycoplasma genitalium consists of 523 genes, encoding 484 proteins, in just 580,074 base pairs (Table 1.6). What fraction of the M. genitalium genes encodes proteins? What do you think the other genes encode? If the fraction of base pairs devoted to protein - coding genes is the same as the fraction of the total genes that they represent, what is the average number of base pairs per protein - coding gene? If it takes 3 base pairs to specify an amino acid in a protein, how many amino acids are found in the average M. genitalium protein? If each amino acid contributes on average 120 daltons to the mass of a protein, what is the mass of an average M. genitalium protein? What fraction of the M. genitalium genes encodes proteins? ",9.25E-01,,1.12,QCBench,Biochemistry
4,"Virus genomes range in size from approximately 3500 nucleotides to approximately 280,000 base pairs. If viral genes are about the same size as M. genitalium genes, what is the minimum and maximum number of genes in viruses?","3, 252",,1.14,QCBench,Biochemistry
5,Calculating the pH of a solution of a weak acid; calculating the pH of the solution after the addition of strong base The ( K_{\text{a}} ) for formic acid is ( 1.78 \times 10^{-4} \ M ). What is the pH of a ( 0.1 \ M ) solution of formic acid?,2.38E+00,,2.4,QCBench,Biochemistry
6,"Calculate the \( \text{HPO}_4^{2-}/\text{H}_2\text{PO}_4^- \) in a muscle cell from the pH   If the internal pH of a muscle cell is 6.8, what is the \( [\text{HPO}_4^{2-}]/[\text{H}_2\text{PO}_4^-] \) ratio in this cell?",3.98E-01,,2.6,QCBench,Biochemistry
7,"Explore the bicarbonate/carbonic acid buffering system of blood plasma   At \( 37^\circ\text{C} \), if the plasma pH is 7.4 and the plasma concentration of \( \text{HCO}_3^- \) is 15 mM, what is the plasma concentration of \( \text{H}_2\text{CO}_3 \)? What is the plasma concentration of \( \text{CO}_{2(\text{dissolved})} \)? If metabolic activity changes the concentration of \( \text{CO}_{2 \ (\text{dissolved})} \) to 3 mM, and \( [\text{HCO}_3^-] \) remains at 15 mM, what is the pH of the plasma?",6.80E+00,,2.11,QCBench,Biochemistry
8,A 100 - g amount of a solute was dissolved in 1000 g of water. The freezing point of this solution was measured accurately and determined to be \(-1.12^\circ\text{C}\). What is the molecular weight of the solute?,1.67E+02,Da,2.14,QCBench,Biochemistry
9,"Calculating \( K_{\text{eq}} \) and \( \Delta G \) from concentrations   An enzymatic hydrolysis of fructose - 1 - P   $$\text{Fructose-1-P} + \text{H}_2\text{O} \rightleftharpoons \text{fructose} + \text{P}_i$$   was allowed to proceed to equilibrium at \( 25^\circ\text{C} \). The original concentration of fructose - 1 - P was \( 0.2 \ M \), but when the system had reached equilibrium the concentration of fructose 1 - P was only \( 6.52 \times 10^{-5} \ M \). Calculate the equilibrium constant for this reaction.",613,M,3.1,QCBench,Biochemistry
10,"Calculating \( K_{\text{eq}} \) and \( \Delta G \) from concentrations   An enzymatic hydrolysis of fructose - 1 - P   $$\text{Fructose-1-P} + \text{H}_2\text{O} \rightleftharpoons \text{fructose} + \text{P}_i$$   was allowed to proceed to equilibrium at \( 25^\circ\text{C} \). The original concentration of fructose - 1 - P was \( 0.2 \ M \), but when the system had reached equilibrium the concentration of fructose 1 - P was only \( 6.52 \times 10^{-5} \ M \). Calculate the standard free energy of hydrolysis of fructose 1 - P.",-15.9,kJ mol-1,3.1,QCBench,Biochemistry
11,"Calculating the effect of pH on \(\Delta G^\circ\)   ATP hydrolysis at pH 7.0 is accompanied by release of a hydrogen ion to the medium   $$\text{ATP}^{4-} + \text{H}_2\text{O} \rightleftharpoons \text{ADP}^{3-} + \text{HPO}_4^{2-} + \text{H}^+$$   If the \(\Delta G'^\circ\) for this reaction is \(-30.5 \ \text{kJ/mol}\), what is \(\Delta G^\circ\) (that is, the free energy change for the same reaction with all components, including \(\text{H}^+\), at a standard state of \(1 \ M\))?",9.40E+00,kJ mol-1,3.5,QCBench,Biochemistry
12,"Electrospray ionization mass spectrometry (ESI - MS) of the polypeptide chain of myoglobin yielded a series of \(m/z\) peaks (similar to those shown in Figure 5.21 for aerolysin K). Two successive peaks had \(m/z\) values of 1304.7 and 1413.2, respectively. Calculate the mass of the myoglobin polypeptide chain from these data.",1.69E+04,,5.11,QCBench,Biochemistry
13,"A teenager can grow 4 in. in a year during a ""growth spurt"". Assuming that the increase in height is due to vertical growth of collagen fibers (in bone), calculate the number of collagen helix turns synthesized per strand per minute.",2.01E+02,turns/min,6.2,QCBench,Biochemistry
14,The dissociation constant for a particular protein dimer is 1 micromolar. Calculate the free energy difference for the monomer to dimer transition.,3.42E+01,kJ mol-1,6.2,QCBench,Biochemistry
15,"A 0.2 - g sample of amylopectin was analyzed to determine the fraction of the total glucose residues that are branch points in the structure. The sample was exhaustively methylated and then digested, yielding 50 米mol of 2,3 - dimethylglucose and 0.4 米mol of 1,2,3,6 - tetramethylglucose. What fraction of the total residues are branch points?",0.0405,,7.8,QCBench,Biochemistry
16,"A 0.2 - g sample of amylopectin was analyzed to determine the fraction of the total glucose residues that are branch points in the structure. The sample was exhaustively methylated and then digested, yielding 50 米mol of 2,3 - dimethylglucose and 0.4 米mol of 1,2,3,6 - tetramethylglucose. How many reducing ends does this amylopectin have?",2.4e17,ends,,QCBench,Biochemistry
17,"The purple patches of the Halobacterium halobium membrane, which contain the protein bacteriorhodopsin, are approximately 75% protein and 25% lipid. If the protein molecular weight is 26,000 and an average phospholipid has a molecular weight of 800, calculate the phospholipid to protein mole ratio.",1.08E+01,,9.2,QCBench,Biochemistry
18,"Phospholipid lateral motion in membranes is characterized by a diffusion coefficient of about \(1 \times 10^{-8} \ \text{cm}^2/\text{sec}\). The distance traveled in two dimensions (in the membrane) in a given time is \(r = (4Dt)^{1/2}\), where \(r\) is the distance traveled in centimeters, \(D\) is the diffusion coefficient, and \(t\) is the time during which diffusion occurs. Calculate the distance traveled by a phospholipid in a bilayer in 10 msec (milliseconds).",200,nm,9.4,QCBench,Biochemistry
19,"Consider a phospholipid vesicle containing \(10 \ \text{mM}\ \text{Na}^+\) ions. The vesicle is bathed in a solution that contains \(52 \ \text{mM}\ \text{Na}^+\) ions, and the electrical potential difference across the vesicle membrane \(\Delta \psi = \psi_{\text{outside}} - \psi_{\text{inside}} = -30 \ \text{mV}\). What is the electrochemical potential at \(25^\circ\text{C}\) for \(\text{Na}^+\) ions?",1.19E+00,kJ mol-1,9.8,QCBench,Biochemistry
20,"The haploid human genome consists of \(3 \times 10^9\) base pairs. Using the logic in problem 15, one can calculate the minimum length of a unique DNA sequence expected to occur by chance just once in the human genome. That is, what is the length of a double - stranded DNA whose expected frequency of occurrence is once in the haploid human genome?",15.6,,10.16,QCBench,Biochemistry
21,"If 80% of the base pairs in a duplex DNA molecule (12.5 kbp) are in the B - conformation and 20% are in the Z - conformation, what is the long dimension of the molecule?",4.33,um,11.5,QCBench,Biochemistry
22,"The buoyant density of DNA is proportional to its (G + C) content. (G:C base pairs have more atoms per volume than A:T base pairs.) Calculate the density (\(\rho\)) of avian tubercle bacillus DNA from the data presented in Table 10.1 and the equation \(\rho = 1.660 + 0.098\ (\text{GC})\), where \(\text{GC}\) is the mole fraction of (G + C) in DNA.",1.73,g/mL,11.12,QCBench,Biochemistry
23,"If \( V_{max} = 100 \ \mu\text{mol}/\text{mL﹞sec} \) and \( K_m = 2 \ \text{mM} \), what is the velocity of the reaction when \([S] = 20 \ \text{mM}\)?",91,umol/(mL sec),13.2,QCBench,Biochemistry
24,The \( k_{\text{cat}} \) for alkaline phosphatase - catalyzeded hydrolysis of methylphosphate is approximately 14/sec at pH 8 and \( 25^\circ\text{C} \). The rate constant for the uncatalyzed hydrolysis of methylphosphate under the same conditions is approximately \( 1\times10^{-15} \)/sec. What is the difference in the activation free energies of these two reactions?,92,kJ/mol,14.5,QCBench,Biochemistry
