Number,Descriptions,Answer,Unit,Reference,Source,Class
1,"Find an expression for the change in entropy when two blocks of the same substance and of equal mass, one at the temperature $T_\text{h}$ and the other at $T_\text{c}$, are brought into thermal contact and allowed to reach equilibrium. Evaluate the change in entropy for two blocks of copper, each of mass 500 g, with $C_{p,\text{m}} = 24.4\ \text{J K}^{-1}\text{mol}^{-1}$, taking $T_\text{h} = 500\ \text{K}$ and $T_\text{c} = 250\ \text{K}$.  ",22.6,JK-1,"Atkin's Physical Chemistry, 11th.P3B.5",QCBench,Physical
2,"The standard enthalpy of combustion of liquid ethyl ethanoate (ethyl acetate, $\ce{CH_3COOC_2H_5}$) is $-2231\ \text{kJ mol}^{-1}$ at $298\ \text{K}$ and its standard molar entropy is $259.4\ \text{J K}^{-1}\text{mol}^{-1}$. Calculate the standard Gibbs energy of formation of the compound at $298\ \text{K}$.  ",-340,kJ mol-1,"Atkin's Physical Chemistry, 11th.E3D.5(a)",QCBench,Physical
3,"Estimate the change in the Gibbs energy of $1.0\ \text{dm}^3$ of liquid octane when the pressure acting on it is increased from $1.0\ \text{atm}$ to $100\ \text{atm}$. Given that the mass density of octane is $0.703\ \text{g cm}^{-3}$, determine the change in the molar Gibbs energy.  Retain one decimal place, and the unit is $\text{kJ¡¤mol}^{-1}$.",1.60E+00,kJ mol-1,"Atkin's Physical Chemistry, 11th.E3E.4(a)",QCBench,Physical
4,Imagine the vaporization of $1\ \text{mol}\ \ce{H_2O(l)}$ at the normal boiling point and against $1\ \text{atm}$ external pressure. Calculate the work done by the water vapour and hence what fraction of the enthalpy of vaporization is spent on expanding the vapour. The enthalpy of vaporization of water is $40.7\ \text{kJ mol}^{-1}$ at the normal boiling point.  ,7.62,%,"Atkin's Physical Chemistry, 11th.P4B.1",QCBench,Physical
5,"The partial molar volumes of propanone (acetone) and trichloromethane (chloroform) in a mixture in which the mole fraction of $\ce{CHCl_3}$ is $0.4693$ are $74.166\ \text{cm}^3\text{mol}^{-1}$ and $80.235\ \text{cm}^3\text{mol}^{-1}$, respectively. What is the volume of a solution of mass $1.000\ \text{kg}$? ",8.87E+02,cm3,"Atkin's Physical Chemistry, 11th.E5A.6",QCBench,Physical
6,The excess Gibbs energy of solutions of methylcyclohexane (MCH) and tetrahydrofuran (THF) at $303.15\ \text{K}$ were found to fit the expression   $$G^\text{E} = RTx(1 - x)\{0.4857 - 0.1077(2x - 1) + 0.0191(2x - 1)^2\}$$   where $x$ is the mole fraction of MCH. Calculate the Gibbs energy of mixing when a mixture of $1.00\ \text{mol}$ MCH and $3.00\ \text{mol}$ THF is prepared.  ,-4.64,kJ,"Atkin's Physical Chemistry, 11th.P5B.5",QCBench,Physical
7,"The standard Gibbs energy of formation of \ce{NH_3(g)} is -16.5\ \text{kJ mol}^{-1} at 298\ \text{K}. What is the corresponding reaction Gibbs energy when the partial pressures of the \ce{N_2}, \ce{H_2}, and \ce{NH_3} (treated as perfect gases) are 3.0\ \text{bar}, 1.0\ \text{bar}, and 4.0\ \text{bar}, respectively? What is the spontaneous direction of the reaction in this case? Round the result to an integer.",-1.40E+01,kJ mol-1,"Atkin's Physical Chemistry, 11th.E6A.13a",QCBench,Physical
8,"The equilibrium pressure of \ce{H_2} over \ce{U(s)} and \ce{UH_3(s)} between 450\ \text{K} and 715\ \text{K} fits the expression \ln(p/\text{Pa}) = A + B/T + C \ln(T/\text{K}), with A = 69.32, B = -1.464 \times 10^4\ \text{K}, and C = -5.65. Find an expression for the standard enthalpy of formation of \ce{UH_3(s)} and from it calculate \Delta_rC_{p}^{\ominus}. Requirement: Round the results to one decimal place. ",70.5,JK-1mol-1,"Atkin's Physical Chemistry, 11th.P6B.3",QCBench,Physical
9,Suppose that the junction between two semiconductors can be represented by a barrier of height 2.0 eV and length 100 pm. Calculate the transmission probability of an electron with energy 1.5 eV.,8.40E-01,,"Atkin's Physical Chemistry, 11th.E7D.15",QCBench,Physical
10,What is the speed of a photoelectron ejected from an orbital of ionization energy 12.0 eV by a photon of radiation of wavelength 100 nm?,3.70E+05,ms-1,"Atkin's Physical Chemistry, 11th.E9C.6(a)",QCBench,Physical
11,Calculate the moment of inertia around the bisector of the OOO angle and the corresponding rotational constant of an $\ce{^{16}O3}$ molecule (bond angle $117^\circ$; OO bond length 128 pm).,"6.33e-46, 0.442","kg m2, cm-1","Atkin's Physical Chemistry, 11th.E11B.1(a)",QCBench,Physical
12,A proton jumps between two sites with \(\delta = 2.7\) and \(\delta = 4.8\). What rate constant for the interconversion process is needed for the two signals to collapse to a single line in a spectrometer operating at 550 MHz? **Requirement**: Round the results to one decimal place. ,2.60E+03,s-1,"Atkin's Physical Chemistry, 11th.E12B.14(a)",QCBench,Physical
13,Two groups of protons have \(\delta = 4.0\) and \(\delta = 5.2\) and are interconverted by a conformational change of a fluxional molecule. In a 60 MHz spectrometer the spectrum collapsed into a single line at 280 K but at 300 MHz the collapse did not occur until the temperature had been raised to 300 K. Calculate the exchange rate constant at the two temperatures and hence find the activation energy of the interconversion.,"160, 800, 56","s-1, s-1, kJmol-1","Atkin's Physical Chemistry, 11th.I12.3",QCBench,Physical
